student_id,marks,attendance
1,93,54
2,82,94
3,6,39
4,82,16
5,63,97
6,37,1
7,62,67
8,36,91
9,69,85
10,90,6
11,96,28
12,0,2
13,61,25
14,34,15
15,94,29
16,75,23
17,63,27
18,6,74
19,43,12
20,77,27
21,19,87
22,89,14
23,17,2
24,30,61
25,88,85
26,26,67
27,31,57
28,68,50
29,97,39
30,14,3
31,2,59
32,0,60
33,89,100
34,30,18
35,42,97
36,94,69
37,69,50
38,47,23
39,32,29
40,8,76
41,68,22
42,32,38
43,94,41
44,65,5
45,20,95
46,87,22
47,93,26
48,60,97
49,46,64
50,52,83
51,80,61
52,31,22
53,75,38
54,25,62
55,67,88
56,45,35
57,1,31
58,42,80
59,19,91
60,33,47
61,5,12
62,31,98
63,85,32
64,51,59
65,75,16
66,44,29
67,42,37
68,57,10
69,29,68
70,86,80
71,26,82
72,59,39
73,41,4
74,48,83
75,80,95
76,49,76
77,64,92
78,18,44
79,64,46
80,6,66
81,73,6
82,37,87
83,19,89
84,4,70
85,17,53
86,18,57
87,21,35
88,85,2
89,72,57
90,17,32
91,69,91
92,17,47
93,99,70
94,50,44
95,16,79
96,53,63
97,41,86
98,94,15
99,98,21
100,17,87
101,34,70
102,20,100
103,48,55
104,24,81
105,75,24
106,19,77
107,7,14
108,6,73
109,67,58
110,89,34
111,42,91
112,25,31
113,2,83
114,72,84
115,40,61
116,45,82
117,8,97
118,61,41
119,93,79
120,35,51
121,68,98
122,67,29
123,62,2
124,12,32
125,66,85
126,7,61
127,47,57
128,59,74
129,4,95
130,78,59
131,28,29
132,67,57
133,38,34
134,70,21
135,11,69
136,62,24
137,85,34
138,74,43
139,99,74
140,21,87
141,64,81
142,19,47
143,45,34
144,52,52
145,61,65
146,25,75
147,6,15
148,72,41
149,57,18
150,25,30
151,0,17
152,51,92
153,63,33
154,60,95
155,28,55
156,92,85
157,60,80
158,14,72
159,48,2
160,50,41
161,75,92
162,60,1
163,63,46
164,22,57
165,38,94
166,80,62
167,2,19
168,88,27
169,36,55
170,20,57
171,31,60
172,48,14
173,66,76
174,25,55
175,98,35
176,96,1
177,48,38
178,65,84
179,49,42
180,11,31
181,67,14
182,85,18
183,4,77
184,96,59
185,81,44
186,35,82
187,21,68
188,84,56
189,5,35
190,78,25
191,55,35
192,84,38
193,44,85
194,46,8
195,67,19
196,35,22
197,48,40
198,57,1
199,62,56
200,6,90
201,30,8
202,90,32
203,61,14
204,43,51
205,89,22
206,30,5
207,87,69
208,1,79
209,83,78
210,36,76
211,8,61
212,93,97
213,40,70
214,36,68
215,61,69
216,56,26
217,71,10
218,83,90
219,49,11
220,18,56
221,64,90
222,71,6
223,86,16
224,18,71
225,79,4
226,42,24
227,57,84
228,41,79
229,80,82
230,22,35
231,88,6
232,83,46
233,97,63
234,51,65
235,59,8
236,26,0
237,27,66
238,29,85
239,2,85
240,66,38
241,89,93
242,18,15
243,56,12
244,25,63
245,59,27
246,48,25
247,62,79
248,51,33
249,1,2
250,75,16
251,88,59
252,57,55
253,90,96
254,12,13
255,52,97
256,51,29
257,60,17
258,76,43
259,29,21
260,86,42
261,4,71
262,9,4
263,49,11
264,58,36
265,57,3
266,81,28
267,82,51
268,75,21
269,55,92
270,15,44
271,83,64
272,2,49
273,88,31
274,81,41
275,83,67
276,18,78
277,20,68
278,68,57
279,88,38
280,77,74
281,74,1
282,19,31
283,54,42
284,46,91
285,59,63
286,23,82
287,81,42
288,95,95
289,56,74
290,98,60
291,15,45
292,79,4
293,58,44
294,85,45
295,5,92
296,70,44
297,42,51
298,26,46
299,40,2
300,60,5
301,100,2
302,41,42
303,41,86
304,54,1
305,100,21
306,39,32
307,39,96
308,20,37
309,93,78
310,39,26
311,53,27
312,19,20
313,68,73
314,48,87
315,41,23
316,76,99
317,99,81
318,20,72
319,43,51
